Entry,Coiled_coil,Compositional_bias,Domain_CC,Domain_FT,Motif,Region,Repeat,Zinc_finger
O14467,,,,DOMAIN 85..139; /note="HTH cro/C1-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00257",,REGION 1..29; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 41..119; /note="Essential for TBP-binding"; REGION 78..98; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
O60200,,,,DOMAIN 10..60; /note="CHCH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01150",MOTIF 13..23; /note="Cx9C motif 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01150"; MOTIF 42..52; /note="Cx9C motif 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01150",,,
O74700,,,"DOMAIN: The twin CX3C motif contains 4 conserved Cys residues that form 2 disulfide bonds in the mitochondrial intermembrane space. However, during the transit of TIM9 from cytoplasm into mitochondrion, the Cys residues probably coordinate zinc, thereby preventing folding and allowing its transfer across mitochondrial outer membrane (Probable). {ECO:0000305|PubMed:11867522}.",,MOTIF 35..59; /note="Twin CX3C motif"; /evidence="ECO:0000305|PubMed:11867522",,,
O94742,,,,,,,,
P00044,,,,,,,,
P00045,,,,,,,,
P00127,,COMPBIAS 26..40; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 41..77; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 25..89; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P00128,,,,,,,,
P00163,,,,,,,,
P00175,,,"DOMAIN: Consists of two discrete domains, an N-terminal cytochrome b domain from residues 81 to 179 and a C-terminal flavin-binding domain from residues 180 to 566. In addition there is an extended C-terminal tail (PubMed:11914072, PubMed:2329585). The cytochrome b domain is required for efficient cytochrome c reduction (PubMed:11914072). {ECO:0000269|PubMed:11914072, ECO:0000269|PubMed:2329585}.",DOMAIN 88..165; /note="Cytochrome b5 heme-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00279"; DOMAIN 197..563; /note="FMN hydroxy acid dehydrogenase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00683",,,,
P00330,,,,,,,,
P00331,,,,,,,,
P00358,,,,,,,,
P00359,,,,,,,,
P00360,,,,,,,,
P00401,,,,,,,,
P00410,,,,,,,,
P00420,,,,,,,,
P00424,,,,,,,,
P00431,,,,,,,,
P00445,,,,,,,,
P00546,,,,DOMAIN 8..295; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159",,,,
P00549,,,,,,,,
P00560,,,,,,,,
P00572,,,,,,,,
P00635,,,,,,,,
P00724,,,,,,,,
P00729,,,,,MOTIF 24..27; /note="Vacuolar targeting signal"; /evidence="ECO:0000269|PubMed:3028649",,,
P00812,,,,,,,,
P00815,,,,,,REGION 1..229; /note="Phosphoribosyl-AMP cyclohydrolase"; /evidence="ECO:0000250|UniProtKB:O82768"; REGION 230..312; /note="Phosphoribosyl-ATP pyrophosphohydrolase"; /evidence="ECO:0000250|UniProtKB:O82768"; REGION 313..799; /note="Histidinol dehydrogenase"; /evidence="ECO:0000250|UniProtKB:P9WNW9",,
P00817,,,,,,,,
P00830,,,,,,,,
P00854,,,,,,,,
P00890,,,,,,,,
P00924,,,,,,,,
P00925,,,,,,,,
P00927,,,,DOMAIN 393..473; /note="ACT-like 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01008"; DOMAIN 495..566; /note="ACT-like 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01008",,,,
P00937,,,,DOMAIN 13..207; /note="Glutamine amidotransferase type-1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00605",,REGION 215..484; /note="Indole-3-glycerol phosphate synthase",,
P00942,,,,,,,,
P00950,,,,,,,,
P00958,,,,,MOTIF 205..215; /note="'HIGH' region"; MOTIF 525..529; /note="'KMSKS' region",REGION 36..92; /note="Interaction with ARC1",,
P01094,,COMPBIAS 1..16; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 33..62; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..32; /note="Inhibitory domain"; REGION 1..21; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 33..68; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P01119,,COMPBIAS 180..196; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 203..234; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 244..300; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,MOTIF 39..47; /note="Effector region",REGION 177..303; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P01120,,COMPBIAS 181..315; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,MOTIF 39..47; /note="Effector region",REGION 178..322; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P01123,,COMPBIAS 192..206; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,MOTIF 37..45; /note="Effector region"; /evidence="ECO:0000305",REGION 63..80; /note="Interaction with GDI1"; /evidence="ECO:0000269|PubMed:14576435"; REGION 173..206; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 189..195; /note="Interaction with GDI1"; /evidence="ECO:0000269|PubMed:14576435",,
P02293,,,,,,REGION 1..38; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P02294,,COMPBIAS 10..37; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..37; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P02309,,,,,,REGION 1..20; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P02400,,,,,,REGION 66..110; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P02406,,COMPBIAS 1..35; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,MOTIF 7..13; /note="Nuclear localization signal"; /evidence="ECO:0000269|PubMed:2104804"; MOTIF 24..30; /note="Nuclear localization signal"; /evidence="ECO:0000269|PubMed:2104804",REGION 1..39; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P02557,,,,,,REGION 423..457; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P02829,,,"DOMAIN: The TPR repeat-binding motif mediates interaction with TPR repeat-containing proteins like the co-chaperones AHA1, CDC37, CNS1, CPR6, CPR7, HCH1, SBA1, SSE1 and STI1. CNS1, CPR6, CPR7 and STI1.",,MOTIF 705..709; /note="TPR repeat-binding",REGION 219..262; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 221..263; /note="5 X 5 AA repeats of [DE]-[DE]-[DE]-K-K; highly charged region"; REGION 679..709; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",REPEAT 221..225; /note="1"; /evidence="ECO:0000269|PubMed:10786835"; REPEAT 226..230; /note="2"; /evidence="ECO:0000269|PubMed:10786835"; REPEAT 231..235; /note="3"; /evidence="ECO:0000269|PubMed:10786835"; REPEAT 237..241; /note="4"; /evidence="ECO:0000269|PubMed:10786835"; REPEAT 250..254; /note="5"; /evidence="ECO:0000269|PubMed:10786835",
P02992,,,,DOMAIN 46..242; /note="tr-type G",,REGION 55..62; /note="G1"; /evidence="ECO:0000250"; REGION 96..100; /note="G2"; /evidence="ECO:0000250"; REGION 117..120; /note="G3"; /evidence="ECO:0000250"; REGION 172..175; /note="G4"; /evidence="ECO:0000250"; REGION 210..212; /note="G5"; /evidence="ECO:0000250",,
P02994,,,,DOMAIN 5..240; /note="tr-type G",,REGION 14..21; /note="G1"; /evidence="ECO:0000250"; REGION 70..74; /note="G2"; /evidence="ECO:0000250"; REGION 91..94; /note="G3"; /evidence="ECO:0000250"; REGION 153..156; /note="G4"; /evidence="ECO:0000250"; REGION 192..194; /note="G5"; /evidence="ECO:0000250",,
P03069,,COMPBIAS 233..248; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: Residues 89 to 100 and 106 to 125 define the N-terminal activation domain (NTAD) and the central acidic activation domain (CAAD) respectively, which can function independently to promote high-level transcription of the target genes. {ECO:0000269|PubMed:3530496, ECO:0000269|PubMed:7862116}.",DOMAIN 225..281; /note="bZIP"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00978",MOTIF 167..200; /note="Nuclear localization signal"; /evidence="ECO:0000269|PubMed:12455686"; MOTIF 231..249; /note="Nuclear localization signal"; /evidence="ECO:0000269|PubMed:12455686","REGION 89..100; /note=""Required for transcriptional activation""; /evidence=""ECO:0000269|PubMed:7862116""; REGION 106..125; /note=""Required for transcriptional activation""; /evidence=""ECO:0000269|PubMed:7862116""; REGION 217..248; /note=""Disordered""; /evidence=""ECO:0000256|SAM:MobiDB-lite""; REGION 231..251; /note=""Basic motif""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:1473154""; REGION 253..274; /note=""Leucine-zipper""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:1473154""",,
P03871,,,,,,REGION 1..129; /note="Interaction with REP2 and self-association"; REGION 1..76; /note="Interaction with REP2"; REGION 349..373; /note="Nuclear localization",,
P03873,,,,,,REGION 1..143; /note="Cytochrome b"; REGION 144..423; /note="Maturase",,
P03877,,,,,,REGION 1..81; /note="COX1 exons 1 to 3 encoded"; REGION 82..415; /note="COX1 intron 3 encoded",,
P03878,,,,,,REGION 1..240; /note="COX1 exons 1 to 4 encoded"; REGION 241..556; /note="COX1 intron 4 encoded",,
P03879,,,,,,REGION 1..253; /note="COB exons 1 to 4 encoded"; REGION 253..638; /note="COB intron 4 encoded",,
P03962,,,,,,,,
P03965,,,DOMAIN: The large subunit is composed of 2 ATP-grasp domains that are involved in binding the 2 ATP molecules needed for carbamoyl phosphate synthesis. The N-terminal ATP-grasp domain (referred to as the carboxyphosphate synthetic component) catalyzes the ATP-dependent phosphorylation of hydrogencarbonate to carboxyphosphate and the subsequent nucleophilic attack by ammonia to form a carbamate intermediate. The C-terminal ATP-grasp domain (referred to as the carbamoyl phosphate synthetic component) then catalyzes the phosphorylation of carbamate with the second ATP to form the end product carbamoyl phosphate. The reactive and unstable enzyme intermediates are sequentially channeled from one active site to the next through the interior of the protein over a distance of at least 96 A. {ECO:0000250|UniProtKB:P00968}.; DOMAIN: The C-terminal MGS-like domain is required for catalytic function. {ECO:0000269|PubMed:8626695}.,DOMAIN 154..346; /note="ATP-grasp 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00409"; DOMAIN 698..890; /note="ATP-grasp 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00409"; DOMAIN 960..1118; /note="MGS-like"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01202",,REGION 23..420; /note="Carboxyphosphate synthetic domain"; /evidence="ECO:0000250|UniProtKB:P00968"; REGION 421..573; /note="Oligomerization domain"; /evidence="ECO:0000250|UniProtKB:P00968"; REGION 574..958; /note="Carbamoyl phosphate synthetic domain"; /evidence="ECO:0000250|UniProtKB:P00968"; REGION 959..1102; /note="Allosteric domain"; /evidence="ECO:0000250|UniProtKB:P00968",,
P04037,,,,,,,,
P04039,,,,,,,,
P04050,,COMPBIAS 1537..1720; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: The C-terminal domain (CTD) serves as a platform for assembly of factors that regulate transcription initiation, elongation, termination and mRNA processing. {ECO:0000305}.",,,REGION 248..260; /note="Lid loop"; REGION 306..323; /note="Rudder loop"; REGION 810..822; /note="Bridging helix"; REGION 1537..1733; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1549..1716; /note="C-terminal domain (CTD); 24 X 7 AA approximate tandem repeats of Y-S-P-T-S-P-[A-S-N-G]",REPEAT 1549..1555; /note="1"; REPEAT 1556..1562; /note="2"; REPEAT 1563..1569; /note="3"; REPEAT 1570..1576; /note="4"; REPEAT 1577..1583; /note="5"; REPEAT 1584..1590; /note="6"; REPEAT 1591..1597; /note="7"; REPEAT 1598..1604; /note="8"; REPEAT 1605..1611; /note="9"; REPEAT 1612..1618; /note="10"; REPEAT 1619..1625; /note="11"; REPEAT 1626..1632; /note="12"; REPEAT 1633..1639; /note="13"; REPEAT 1640..1646; /note="14"; REPEAT 1647..1653; /note="15"; REPEAT 1654..1660; /note="16"; REPEAT 1661..1667; /note="17"; REPEAT 1668..1674; /note="18"; REPEAT 1675..1681; /note="19"; REPEAT 1682..1688; /note="20"; REPEAT 1689..1695; /note="21"; REPEAT 1696..1702; /note="22"; REPEAT 1703..1709; /note="23"; REPEAT 1710..1716; /note="24; approximate",
P04051,,,,,,REGION 858..870; /note="Bridging helix"; /evidence="ECO:0000250",,
P04147,,COMPBIAS 9..36; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: RNA recognition motifs (RRMs) 1 and 2 bind specifically to the poly(A) tail, whereas RRMs 3 and 4 bind non-specifically to polypyrimidine RNAs and may serve to bind to a different part of the messenger or to other RNAs. RRM 2 also mediates interaction with eIF-4G. {ECO:0000269|PubMed:1675426}.",DOMAIN 38..116; /note="RRM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 126..203; /note="RRM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 219..296; /note="RRM 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 322..399; /note="RRM 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 489..568; /note="PABC"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00641",MOTIF 12..17; /note="Nuclear export signal"; /evidence="ECO:0000255",REGION 1..36; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 9..61; /note="Required and sufficient for nuclear export"; /evidence="ECO:0000255"; REGION 281..317; /note="Required and sufficient for nuclear import"; /evidence="ECO:0000255"; REGION 473..577; /note="Interaction with SUP35",,
P04385,,,,,,,,
P04386,,,DOMAIN: The 9aaTAD motif (residues 862 to 870) is a transactivation domain present in a large number of yeast and animal transcription factors. {ECO:0000269|PubMed:17467953}.,,MOTIF 862..870; /note="9aaTAD",REGION 723..743; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P04387,,,,,,,,
P04397,,,,,,REGION 1..357; /note="Galactowaldenase"; REGION 358..699; /note="Mutarotase",,
P04449,,COMPBIAS 90..127; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 129..155; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 66..155; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P04456,,,,,,,,
P04710,,,"DOMAIN: The transmembrane helices are not perpendicular to the plane of the membrane, but cross the membrane at an angle. Odd-numbered transmembrane helices exhibit a sharp kink, due to the presence of a conserved proline residue. {ECO:0000250|UniProtKB:G2QNH0}.",,MOTIF 243..248; /note="Nucleotide carrier signature motif"; /evidence="ECO:0000250|UniProtKB:P02722",REGION 243..248; /note="Important for transport activity"; /evidence="ECO:0000250|UniProtKB:P12235",REPEAT 11..104; /note="Solcar 1"; REPEAT 116..208; /note="Solcar 2"; REPEAT 216..302; /note="Solcar 3",
P04786,,COMPBIAS 10..26; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 29..43; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 87..132; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 364..769; /note="Topo IB-type catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01382",,REGION 1..132; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 357..358; /note="Interaction with DNA"; /evidence="ECO:0000250"; REGION 420..425; /note="Interaction with DNA"; /evidence="ECO:0000250"; REGION 512..514; /note="Interaction with DNA"; /evidence="ECO:0000250",,
P04802,,COMPBIAS 28..71; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..74; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 303..306; /note="Aspartate"; /evidence="ECO:0000250",,
P04806,,,,DOMAIN 21..468; /note="Hexokinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084",,REGION 75..209; /note="Hexokinase small subdomain"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084"; REGION 210..457; /note="Hexokinase large subdomain"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084",,
P04807,,,,DOMAIN 21..469; /note="Hexokinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084",,REGION 75..209; /note="Hexokinase small subdomain"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084"; REGION 210..458; /note="Hexokinase large subdomain"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084",,
P04817,,,,,,,,
P04819,,COMPBIAS 61..79; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 47..79; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 97..127; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 309..318; /note="Interaction with target DNA"; /evidence="ECO:0000250"; REGION 493..495; /note="Interaction with target DNA"; /evidence="ECO:0000250",,
P04821,,COMPBIAS 129..143; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 144..243; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 379..395; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 396..424; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 1261..1287; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 58..128; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 1117..1247; /note="N-terminal Ras-GEF"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00135"; DOMAIN 1305..1542; /note="Ras-GEF"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00168",,REGION 1..53; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 121..243; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 359..424; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 553..574; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1249..1287; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1570..1589; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
P04840,,,"DOMAIN: Consists mainly of membrane-spanning sided beta-sheets. 19 strands distributed along the entire VDAC protein, have the potential to adopt transmembrane beta pleated sheet structures, which rolled together may form a 'beta-barrel' type structure, possessing pore dimensions.",,,,,
